text,label
Ministerio de Salud actualiza protocolo de seguridad.,1
Liga Nacional actualiza protocolo de deporte.,1
CIV realiza jornada de energía en CONRED.,1
Anuncian que los dragones regresarán en Universidad del Valle.,0
Confirman llegada de extraterrestres a Universidad del Valle.,0
Quetzaltenango implementa campaña nacional de salud.,1
CONRED publica calendario oficial de economía.,1
Garantizan ganar la lotería con un método secreto.,0
Habilitan viajes en el tiempo desde Ministerio de Salud.,0
Guatemala realiza jornada de salud en CONRED.,1
El SAT anuncia nuevas medidas para transporte.,1
Afirman que un meteorito de oro cayó en Ministerio de Salud.,0
Anuncian que los dragones regresarán en Universidad del Valle.,0
Revelan que la Tierra es hueca bajo Ministerio de Salud.,0
Garantizan ganar la lotería con un método secreto.,0
Confirman llegada de extraterrestres a Quetzaltenango.,0
Presentan dispositivo que lee la mente en Ministerio de Salud.,0
Quetzaltenango inaugura proyecto de economía en Municipalidad.,1
Municipalidad reporta incremento del 23% en seguridad.,1
Congreso confirma operativo de control en Liga Nacional.,1
Guatemala confirma operativo de control en Quetzaltenango.,1
CONRED reporta incremento del 17% en tecnología.,1
Banco de Guatemala establece convenio para fortalecer deporte.,1
Habilitan viajes en el tiempo desde Antigua Guatemala.,0
Confirman llegada de extraterrestres a Congreso.,0
Quetzaltenango actualiza protocolo de seguridad.,1
SAT presenta informe trimestral sobre educación.,1
Antigua Guatemala publica calendario oficial de seguridad.,1
Banco de Guatemala presenta informe trimestral sobre tecnología.,1
Revelan que la Tierra es hueca bajo Quetzaltenango.,0
CONRED confirma operativo de control en Antigua Guatemala.,1
Guatemala actualiza protocolo de cultura.,1
Descubren fórmula para vivir 261 años.,0
Confirman llegada de extraterrestres a SAT.,0
Confirman llegada de extraterrestres a SAT.,0
Congreso establece convenio para fortalecer ambiente.,1
Revelan que la Tierra es hueca bajo Congreso.,0
Anuncian que los dragones regresarán en Congreso.,0
Garantizan ganar la lotería con un método secreto.,0
Antigua Guatemala implementa campaña nacional de transporte.,1
Prometen internet gratuito mundial desde mañana.,0
Liga Nacional presenta informe trimestral sobre ambiente.,1
Revelan que la Tierra es hueca bajo Liga Nacional.,0
Antigua Guatemala confirma operativo de control en Municipalidad.,1
Prometen internet gratuito mundial desde mañana.,0
Universidad del Valle presenta informe trimestral sobre economía.,1
El Municipalidad anuncia nuevas medidas para cultura.,1
Descubren fórmula para vivir 471 años.,0
Descubren fórmula para vivir 495 años.,0
Descubren fórmula para vivir 269 años.,0
Revelan que la Tierra es hueca bajo CONRED.,0
Ministerio de Salud reporta incremento del 7% en economía.,1
Descubren fórmula para vivir 170 años.,0
Liga Nacional presenta informe trimestral sobre salud.,1
Anuncian que los dragones regresarán en CONRED.,0
Habilitan viajes en el tiempo desde Quetzaltenango.,0
Quetzaltenango publica calendario oficial de energía.,1
Habilitan viajes en el tiempo desde Banco de Guatemala.,0
Aseguran que el café cura todas las enfermedades.,0
SAT confirma operativo de control en Banco de Guatemala.,1
Banco de Guatemala presenta informe trimestral sobre cultura.,1
SAT reporta incremento del 30% en economía.,1
Prometen internet gratuito mundial desde mañana.,0
Anuncian que los dragones regresarán en Guatemala.,0
Municipalidad inaugura proyecto de ambiente en Congreso.,1
Liga Nacional publica calendario oficial de transporte.,1
Congreso presenta informe trimestral sobre ambiente.,1
Afirman que un meteorito de oro cayó en CIV.,0
Municipalidad publica calendario oficial de salud.,1
Banco de Guatemala establece convenio para fortalecer energía.,1
Prometen internet gratuito mundial desde mañana.,0
Quetzaltenango inaugura proyecto de cultura en Antigua Guatemala.,1
Afirman que un meteorito de oro cayó en Banco de Guatemala.,0
Quetzaltenango publica calendario oficial de educación.,1
Afirman que un meteorito de oro cayó en Guatemala.,0
Confirman llegada de extraterrestres a Ministerio de Salud.,0
Aseguran que el café cura todas las enfermedades.,0
Prometen internet gratuito mundial desde mañana.,0
Descubren fórmula para vivir 170 años.,0
Prometen internet gratuito mundial desde mañana.,0
Ministerio de Salud implementa campaña nacional de cultura.,1
Liga Nacional publica calendario oficial de educación.,1
Universidad del Valle implementa campaña nacional de cultura.,1
Revelan que la Tierra es hueca bajo Banco de Guatemala.,0
Guatemala presenta informe trimestral sobre tecnología.,1
Habilitan viajes en el tiempo desde Congreso.,0
Aseguran que el café cura todas las enfermedades.,0
Prometen internet gratuito mundial desde mañana.,0
CONRED realiza jornada de deporte en Universidad del Valle.,1
Confirman llegada de extraterrestres a Universidad del Valle.,0
Anuncian que los dragones regresarán en Municipalidad.,0
El Banco de Guatemala anuncia nuevas medidas para tecnología.,1
Afirman que un meteorito de oro cayó en Congreso.,0
Universidad del Valle inaugura proyecto de economía en CIV.,1
El SAT anuncia nuevas medidas para cultura.,1
Quetzaltenango confirma operativo de control en Liga Nacional.,1
Prometen internet gratuito mundial desde mañana.,0
Congreso actualiza protocolo de deporte.,1
El CIV anuncia nuevas medidas para educación.,1
El Guatemala anuncia nuevas medidas para educación.,1
Banco de Guatemala reporta incremento del 3% en deporte.,1
Confirman llegada de extraterrestres a Antigua Guatemala.,0
SAT actualiza protocolo de seguridad.,1
El Liga Nacional anuncia nuevas medidas para energía.,1
SAT publica calendario oficial de educación.,1
Ministerio de Salud reporta incremento del 16% en deporte.,1
Municipalidad inaugura proyecto de salud en CIV.,1
Revelan que la Tierra es hueca bajo Guatemala.,0
Universidad del Valle realiza jornada de deporte en SAT.,1
Revelan que la Tierra es hueca bajo CIV.,0
Prometen internet gratuito mundial desde mañana.,0
Habilitan viajes en el tiempo desde Quetzaltenango.,0
Afirman que un meteorito de oro cayó en Ministerio de Salud.,0
Congreso realiza jornada de seguridad en Congreso.,1
El Liga Nacional anuncia nuevas medidas para seguridad.,1
Ministerio de Salud presenta informe trimestral sobre deporte.,1
Presentan dispositivo que lee la mente en Antigua Guatemala.,0
CIV publica calendario oficial de cultura.,1
Aseguran que el café cura todas las enfermedades.,0
Municipalidad inaugura proyecto de deporte en SAT.,1
Quetzaltenango confirma operativo de control en Antigua Guatemala.,1
Garantizan ganar la lotería con un método secreto.,0
CIV presenta informe trimestral sobre tecnología.,1
Revelan que la Tierra es hueca bajo Universidad del Valle.,0
Garantizan ganar la lotería con un método secreto.,0
Descubren fórmula para vivir 234 años.,0
Aseguran que el café cura todas las enfermedades.,0
Presentan dispositivo que lee la mente en Antigua Guatemala.,0
Afirman que un meteorito de oro cayó en Quetzaltenango.,0
Prometen internet gratuito mundial desde mañana.,0
SAT presenta informe trimestral sobre tecnología.,1
Garantizan ganar la lotería con un método secreto.,0
Quetzaltenango establece convenio para fortalecer transporte.,1
Presentan dispositivo que lee la mente en Congreso.,0
Banco de Guatemala actualiza protocolo de transporte.,1
Universidad del Valle confirma operativo de control en CIV.,1
Afirman que un meteorito de oro cayó en CIV.,0
Ministerio de Salud reporta incremento del 31% en seguridad.,1
Quetzaltenango inaugura proyecto de cultura en Congreso.,1
Descubren fórmula para vivir 443 años.,0
Garantizan ganar la lotería con un método secreto.,0
Aseguran que el café cura todas las enfermedades.,0
Guatemala publica calendario oficial de economía.,1
Prometen internet gratuito mundial desde mañana.,0
El SAT anuncia nuevas medidas para cultura.,1
Antigua Guatemala publica calendario oficial de ambiente.,1
Ministerio de Salud confirma operativo de control en Guatemala.,1
Aseguran que el café cura todas las enfermedades.,0
Descubren fórmula para vivir 301 años.,0
CIV actualiza protocolo de transporte.,1
Liga Nacional reporta incremento del 30% en seguridad.,1
Anuncian que los dragones regresarán en Banco de Guatemala.,0
Revelan que la Tierra es hueca bajo SAT.,0
Municipalidad realiza jornada de educación en Universidad del Valle.,1
Revelan que la Tierra es hueca bajo SAT.,0
Confirman llegada de extraterrestres a Ministerio de Salud.,0
Guatemala confirma operativo de control en CONRED.,1
Congreso implementa campaña nacional de seguridad.,1
Afirman que un meteorito de oro cayó en Antigua Guatemala.,0
Liga Nacional reporta incremento del 8% en ambiente.,1
Presentan dispositivo que lee la mente en Quetzaltenango.,0
Municipalidad implementa campaña nacional de tecnología.,1
Liga Nacional actualiza protocolo de seguridad.,1
Anuncian que los dragones regresarán en Congreso.,0
Descubren fórmula para vivir 355 años.,0
Antigua Guatemala reporta incremento del 6% en economía.,1
Revelan que la Tierra es hueca bajo CONRED.,0
Anuncian que los dragones regresarán en Congreso.,0
Prometen internet gratuito mundial desde mañana.,0
Guatemala presenta informe trimestral sobre salud.,1
Confirman llegada de extraterrestres a Ministerio de Salud.,0
SAT inaugura proyecto de cultura en Municipalidad.,1
Quetzaltenango confirma operativo de control en Quetzaltenango.,1
Antigua Guatemala realiza jornada de educación en Quetzaltenango.,1
Habilitan viajes en el tiempo desde Quetzaltenango.,0
Afirman que un meteorito de oro cayó en Quetzaltenango.,0
Ministerio de Salud inaugura proyecto de transporte en Universidad del Valle.,1
Banco de Guatemala realiza jornada de cultura en Universidad del Valle.,1
Aseguran que el café cura todas las enfermedades.,0
Afirman que un meteorito de oro cayó en Liga Nacional.,0
CONRED actualiza protocolo de energía.,1
Revelan que la Tierra es hueca bajo Banco de Guatemala.,0
SAT implementa campaña nacional de tecnología.,1
Aseguran que el café cura todas las enfermedades.,0
Antigua Guatemala presenta informe trimestral sobre tecnología.,1
CONRED presenta informe trimestral sobre cultura.,1
Revelan que la Tierra es hueca bajo SAT.,0
Revelan que la Tierra es hueca bajo SAT.,0
Presentan dispositivo que lee la mente en Guatemala.,0
Aseguran que el café cura todas las enfermedades.,0
Descubren fórmula para vivir 481 años.,0
Municipalidad actualiza protocolo de energía.,1
Prometen internet gratuito mundial desde mañana.,0
CONRED presenta informe trimestral sobre salud.,1
Congreso confirma operativo de control en Quetzaltenango.,1
Confirman llegada de extraterrestres a Municipalidad.,0
CIV presenta informe trimestral sobre economía.,1
Aseguran que el café cura todas las enfermedades.,0
Descubren fórmula para vivir 380 años.,0
El Banco de Guatemala anuncia nuevas medidas para educación.,1
Garantizan ganar la lotería con un método secreto.,0
Liga Nacional inaugura proyecto de ambiente en Banco de Guatemala.,1
Confirman llegada de extraterrestres a Liga Nacional.,0
El Antigua Guatemala anuncia nuevas medidas para ambiente.,1
Habilitan viajes en el tiempo desde Municipalidad.,0
Congreso establece convenio para fortalecer economía.,1
Guatemala establece convenio para fortalecer transporte.,1
Universidad del Valle actualiza protocolo de cultura.,1
Universidad del Valle establece convenio para fortalecer transporte.,1
Ministerio de Salud reporta incremento del 32% en energía.,1
Confirman llegada de extraterrestres a CIV.,0
Habilitan viajes en el tiempo desde Ministerio de Salud.,0
Aseguran que el café cura todas las enfermedades.,0
CONRED implementa campaña nacional de ambiente.,1
Habilitan viajes en el tiempo desde CONRED.,0
SAT establece convenio para fortalecer economía.,1
Afirman que un meteorito de oro cayó en Universidad del Valle.,0
Habilitan viajes en el tiempo desde CIV.,0
Universidad del Valle confirma operativo de control en Universidad del Valle.,1
Municipalidad reporta incremento del 9% en economía.,1
Guatemala actualiza protocolo de energía.,1
Prometen internet gratuito mundial desde mañana.,0
Municipalidad realiza jornada de deporte en CONRED.,1
Presentan dispositivo que lee la mente en Guatemala.,0
SAT confirma operativo de control en Antigua Guatemala.,1
Municipalidad implementa campaña nacional de salud.,1
Congreso realiza jornada de cultura en Ministerio de Salud.,1
Municipalidad establece convenio para fortalecer cultura.,1
Habilitan viajes en el tiempo desde Municipalidad.,0
SAT establece convenio para fortalecer deporte.,1
Garantizan ganar la lotería con un método secreto.,0
Aseguran que el café cura todas las enfermedades.,0
Presentan dispositivo que lee la mente en Banco de Guatemala.,0
Antigua Guatemala actualiza protocolo de ambiente.,1
Prometen internet gratuito mundial desde mañana.,0
CONRED confirma operativo de control en Quetzaltenango.,1
Banco de Guatemala inaugura proyecto de educación en Congreso.,1
Aseguran que el café cura todas las enfermedades.,0
Antigua Guatemala implementa campaña nacional de ambiente.,1
Afirman que un meteorito de oro cayó en Municipalidad.,0
